Source_Amplitude,Frequency_omega,Max_Abs_E,Max_Abs_Real_Ex,Max_Abs_Imag_Ex,Max_Abs_Real_Ey,Max_Abs_Imag_Ey
0.1,2.2678523489932885,0.008246686417157215,0.005744360209887014,0.00735888751532547,0.0012868779441195495,0.004460666019276844
0.1,2.2859060402684563,0.007941354088243193,0.006030786279756488,0.007628582458444966,0.0013494846693054895,0.004394562831411353
0.1,2.3039597315436247,0.007955323593768729,0.006646588190736398,0.007785115282374797,0.0016790776386678126,0.004329958321837809
0.1,2.322013422818792,0.008231162312682413,0.0074893892821747505,0.007711592311393104,0.0021745454326341958,0.004211065557754586
0.1,2.34006711409396,0.008801414232824793,0.008352447762378553,0.0073478785884693604,0.002701445574846281,0.0039766889985429835
0.1,2.358120805369128,0.009632502641403903,0.00905301437353256,0.006721035736137513,0.0031660543962511874,0.0036077145639481422
0.1,2.3761744966442953,0.010264648747627765,0.009406590658200369,0.00642440601487925,0.0034365224088067294,0.0031136603508264936
0.1,2.394228187919463,0.010609480996824202,0.00933433734496921,0.006491959301169791,0.0034587776687449927,0.0026571856550065658
0.1,2.412281879194631,0.010620147480836619,0.008861228070989822,0.006628269267956639,0.003225111542952843,0.0027480791540342745
0.1,2.430335570469799,0.010307937791660041,0.008099870916863242,0.006755885773600651,0.0028149278098614115,0.00315722673846944
0.1,2.4483892617449667,0.009738841120223949,0.0072236685768903046,0.00699186135911924,0.0023300257797623804,0.003457562297336428
0.1,2.4664429530201346,0.009014708200621181,0.00641508273508668,0.006971951652963958,0.0018639052854203797,0.0036459461134768327
0.1,2.484496644295302,0.008238917362746784,0.005777454237792988,0.006780899012307418,0.0015035468777882066,0.0037526543588385125
0.1,2.50255033557047,0.007525816392826432,0.005370441252685655,0.006528518106895431,0.0013228851773541593,0.003802729528290882
0.1,2.520604026845638,0.007144149586144448,0.0052002686025805185,0.006242030344076637,0.0013551998045391882,0.0037998899852874435
0.1,2.538657718120805,0.006944940111367211,0.005235117633700204,0.0062043421573045295,0.001697093966495055,0.0037510898624961257
0.1,2.5567114093959735,0.006812864701036189,0.005443416551762097,0.006249626589105549,0.0020725190860144873,0.0035889545344216013
0.1,2.5747651006711414,0.0067450476237922285,0.005791341379049911,0.0063368431977596715,0.0025061117264205293,0.0032783076790226994
0.1,2.592818791946309,0.006806390025085569,0.0062573256847718115,0.0065366338634094,0.0028665070463655623,0.0029390513566286544
0.1,2.6108724832214767,0.0072378647210143655,0.006827558383290019,0.006848290694327771,0.00315334816856531,0.0026072567274037315
0.1,2.6289261744966446,0.007837493250107023,0.007456348887812133,0.007140351690998126,0.003240765252017637,0.0029329658945124594
0.1,2.646979865771812,0.008483847002370625,0.008061635282169098,0.007334382302940351,0.003132151541547188,0.0034795661875133056
0.1,2.66503355704698,0.009107624692309286,0.008559995857019656,0.0073686739226753815,0.002975811593535891,0.003953963103297874
0.1,2.683087248322148,0.009646876929872879,0.008883571344722617,0.007266635526236434,0.0028790980126007647,0.004282280444691654
0.1,2.7011409395973156,0.010018519668023545,0.008999985858373707,0.0070574644462717455,0.0030505442088940454,0.004503646246859741
0.1,2.7191946308724835,0.010197431686599014,0.008925311176900218,0.0067781409459537105,0.003341944720304054,0.004562806883020391
0.1,2.7372483221476513,0.010213619742937382,0.008793531451039503,0.007262502474913432,0.0036634997169743997,0.004448385858920048
0.1,2.7553020134228188,0.010172177054953643,0.00857926282489561,0.007374605501811659,0.003966112662515684,0.004090504582415536
0.1,2.7733557046979866,0.01011921441409559,0.008379172744696512,0.00716826741936451,0.004287673899749234,0.003452979489925687
0.1,2.7914093959731545,0.01003600567967366,0.008087008619246322,0.006882120004165273,0.0043576144135641865,0.0026811672328197534
0.1,2.8094630872483224,0.009919154674121066,0.007674564829835163,0.006706990365994938,0.004126755672280582,0.0030102738884843984
0.1,2.8275167785234903,0.009653600804822126,0.007132671800016078,0.006636788978756894,0.003690181820895398,0.0034563573477120256
0.1,2.845570469798658,0.009224876720304701,0.0065186005153516375,0.006577661413908117,0.003101467272241845,0.0037481428061800224
0.1,2.8636241610738256,0.008663518926969569,0.005933156337155815,0.006446139260491971,0.0024977462356768464,0.003902480803293305
0.1,2.8816778523489934,0.008070639196227233,0.005504744249613812,0.006163045543423423,0.001962229142338692,0.003949601587135173
0.1,2.8997315436241613,0.007571218565633131,0.0053350692577059135,0.005850396949935636,0.0016818738723269483,0.0038729064750163546
0.1,2.9177852348993287,0.0072978435971532115,0.0054383019492792945,0.005622367661697306,0.0015740943768726302,0.003725217422536156
0.1,2.935838926174497,0.007330759717529462,0.005763006931301818,0.0055060932744816484,0.001593550210856226,0.0035413935709383117
0.1,2.953892617449665,0.00763132342357183,0.006158306665058099,0.005468511709929694,0.0016726708733597441,0.0033364898934526255
0.1,2.9719463087248323,0.008031430177950351,0.00646226060260041,0.00548789682886548,0.0018876193576022188,0.0031087550050648925
0.1,2.99,0.008373309822446487,0.006566558694572489,0.005640503700227686,0.0020531172010864705,0.0029477851012475616
